"","X","anime_id","name","genre","type","episodes","rating","members"
"4",4,9253,"Steins;Gate","Sci-Fi, Thriller","TV",24,9.17,673572
"28",28,21939,"Mushishi Zoku Shou","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","TV",10,8.8,101351
"48",48,22135,"Ping Pong The Animation","Psychological, Seinen, Sports","TV",11,8.67,97187
"59",59,24415,"Kuroko no Basket 3rd Season","Comedy, School, Shounen, Sports","TV",25,8.62,184525
"84",85,2251,"Baccano!","Action, Comedy, Historical, Mystery, Seinen, Supernatural","TV",13,8.54,363215
"86",87,16498,"Shingeki no Kyojin","Action, Drama, Fantasy, Shounen, Super Power","TV",25,8.54,896229
"93",94,14397,"Chihayafuru 2","Drama, Game, Josei, Slice of Life, Sports","TV",25,8.52,86074
"111",112,2921,"Ashita no Joe 2","Drama, Sports","TV",47,8.48,6259
"119",120,2559,"Romeo no Aoi Sora","Adventure, Drama, Historical, Slice of Life","TV",33,8.47,15074
"122",123,11771,"Kuroko no Basket","Comedy, School, Shounen, Sports","TV",25,8.46,338315
"135",136,45,"Rurouni Kenshin: Meiji Kenkaku Romantan","Action, Adventure, Comedy, Historical, Romance, Samurai","TV",94,8.43,218928
"138",139,22297,"Fate/stay night: Unlimited Blade Works","Action, Fantasy, Magic, Shounen, Supernatural","TV",12,8.42,267484
"158",159,13759,"Sakurasou no Pet na Kanojo","Comedy, Drama, Romance, School, Slice of Life","TV",24,8.4,380375
"160",161,5081,"Bakemonogatari","Mystery, Romance, Supernatural, Vampire","TV",15,8.39,482268
"166",167,6746,"Durarara!!","Action, Mystery, Supernatural","TV",24,8.38,556431
"177",178,2966,"Ookami to Koushinryou","Adventure, Fantasy, Historical, Romance","TV",13,8.37,334932
"180",181,18195,"Little Busters!: Refrain","Comedy, Drama, Romance, School, Slice of Life, Supernatural","TV",13,8.36,71820
"197",198,3091,"xxxHOLiC Kei","Comedy, Drama, Mystery, Psychological, Supernatural","TV",13,8.34,74941
"210",211,16067,"Nagi no Asukara","Drama, Fantasy, Romance","TV",26,8.32,224947
"211",212,30,"Neon Genesis Evangelion","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi","TV",26,8.32,461946
"235",236,25681,"Kamisama Hajimemashita◎","Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural","TV",12,8.28,91796
"283",285,721,"Princess Tutu","Comedy, Fantasy, Magic, Romance","TV",38,8.23,73218
"300",302,24833,"Ansatsu Kyoushitsu (TV)","Action, Comedy, School, Shounen","TV",22,8.2,312654
"312",314,2164,"Dennou Coil","Adventure, Comedy, Drama, Mystery, Sci-Fi","TV",26,8.19,76860
"313",315,237,"Eureka Seven","Adventure, Drama, Mecha, Romance, Sci-Fi","TV",50,8.19,239570
"322",324,4789,"ef: A Tale of Melodies.","Drama, Mystery, Romance, Supernatural","TV",12,8.18,103657
"334",336,12189,"Hyouka","Mystery, School, Slice of Life","TV",22,8.17,372246
"337",339,9656,"Kimi ni Todoke 2nd Season","Romance, School, Shoujo, Slice of Life","TV",12,8.17,171866
"389",391,1471,"City Hunter 2","Action, Comedy, Mystery, Shounen","TV",63,8.12,8199
"396",398,10080,"Kami nomi zo Shiru Sekai II","Comedy, Harem, Romance, Shounen, Supernatural","TV",12,8.12,194300
"415",417,77,"Mahou Shoujo Lyrical Nanoha A&#039;s","Action, Comedy, Drama, Magic, Super Power","TV",13,8.1,41685
"427",429,6774,"Kuuchuu Buranko","Comedy, Drama, Psychological, Seinen","TV",11,8.09,41521
"439",441,3588,"Soul Eater","Action, Adventure, Comedy, Fantasy, Shounen, Supernatural","TV",51,8.08,580184
"447",449,2158,"Terra e... (TV)","Action, Drama, Military, Sci-Fi, Space","TV",24,8.07,36941
